LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUT,FPOP,TOT,PC_POP,A,2000,8.7,
AUT,FPOP,TOT,PC_POP,A,2001,8.8,
AUT,FPOP,TOT,PC_POP,A,2002,9.1,
AUT,FPOP,TOT,PC_POP,A,2003,9.2,
AUT,FPOP,TOT,PC_POP,A,2004,9.2,
AUT,FPOP,TOT,PC_POP,A,2005,9.4,
AUT,FPOP,TOT,PC_POP,A,2006,9.6,
AUT,FPOP,TOT,PC_POP,A,2007,9.7,
AUT,FPOP,TOT,PC_POP,A,2008,10,
AUT,FPOP,TOT,PC_POP,A,2009,10.3,
AUT,FPOP,TOT,PC_POP,A,2010,10.5,
AUT,FPOP,TOT,PC_POP,A,2011,10.8,
AUT,FPOP,TOT,PC_POP,A,2012,11.3,
AUT,FPOP,TOT,PC_POP,A,2013,11.8,
AUT,FPOP,TOT,PC_POP,A,2014,12.5,
AUT,FPOP,TOT,PC_POP,A,2015,13.4,
AUT,FPOP,TOT,PC_POP,A,2016,14.6,
AUT,FPOP,TOT,PC_POP,A,2017,15.4,
AUT,FPOP,TOT,PC_POP,A,2018,16,
AUT,FPOP,TOT,PC_POP,A,2019,16.1,
BEL,FPOP,TOT,PC_POP,A,2000,8.8,
BEL,FPOP,TOT,PC_POP,A,2001,8.4,
BEL,FPOP,TOT,PC_POP,A,2002,8.2,
BEL,FPOP,TOT,PC_POP,A,2003,8.2,
BEL,FPOP,TOT,PC_POP,A,2004,8.2,
BEL,FPOP,TOT,PC_POP,A,2005,8.2,
BEL,FPOP,TOT,PC_POP,A,2006,8.5,
BEL,FPOP,TOT,PC_POP,A,2007,8.7,
BEL,FPOP,TOT,PC_POP,A,2008,9,
BEL,FPOP,TOT,PC_POP,A,2009,9.3,
BEL,FPOP,TOT,PC_POP,A,2010,9.7,
BEL,FPOP,TOT,PC_POP,A,2011,10.2,
BEL,FPOP,TOT,PC_POP,A,2012,10.6,
BEL,FPOP,TOT,PC_POP,A,2013,11.3,
BEL,FPOP,TOT,PC_POP,A,2014,11.3,
BEL,FPOP,TOT,PC_POP,A,2015,11.3,
BEL,FPOP,TOT,PC_POP,A,2016,11.7,
BEL,FPOP,TOT,PC_POP,A,2017,12,
BEL,FPOP,TOT,PC_POP,A,2018,12.1,
BEL,FPOP,TOT,PC_POP,A,2019,12.3,
DNK,FPOP,TOT,PC_POP,A,2000,4.9,
DNK,FPOP,TOT,PC_POP,A,2001,4.8,
DNK,FPOP,TOT,PC_POP,A,2002,5,
DNK,FPOP,TOT,PC_POP,A,2003,4.9,
DNK,FPOP,TOT,PC_POP,A,2004,5,
DNK,FPOP,TOT,PC_POP,A,2005,4.9,
DNK,FPOP,TOT,PC_POP,A,2006,5,
DNK,FPOP,TOT,PC_POP,A,2007,5.1,
DNK,FPOP,TOT,PC_POP,A,2008,5.4,
DNK,FPOP,TOT,PC_POP,A,2009,5.8,
DNK,FPOP,TOT,PC_POP,A,2010,5.9,
DNK,FPOP,TOT,PC_POP,A,2011,6.2,
DNK,FPOP,TOT,PC_POP,A,2012,6.4,
DNK,FPOP,TOT,PC_POP,A,2013,6.7,
DNK,FPOP,TOT,PC_POP,A,2014,7,
DNK,FPOP,TOT,PC_POP,A,2015,7.5,
DNK,FPOP,TOT,PC_POP,A,2016,8.1,
DNK,FPOP,TOT,PC_POP,A,2017,8.5,
DNK,FPOP,TOT,PC_POP,A,2018,8.8,
DNK,FPOP,TOT,PC_POP,A,2019,9.1,
FIN,FPOP,TOT,PC_POP,A,2000,1.7,
FIN,FPOP,TOT,PC_POP,A,2001,1.8,
FIN,FPOP,TOT,PC_POP,A,2002,1.9,
FIN,FPOP,TOT,PC_POP,A,2003,2,
FIN,FPOP,TOT,PC_POP,A,2004,2,
FIN,FPOP,TOT,PC_POP,A,2005,2.1,
FIN,FPOP,TOT,PC_POP,A,2006,2.2,
FIN,FPOP,TOT,PC_POP,A,2007,2.3,
FIN,FPOP,TOT,PC_POP,A,2008,2.5,
FIN,FPOP,TOT,PC_POP,A,2009,2.7,
FIN,FPOP,TOT,PC_POP,A,2010,2.9,
FIN,FPOP,TOT,PC_POP,A,2011,3.1,
FIN,FPOP,TOT,PC_POP,A,2012,3.4,
FIN,FPOP,TOT,PC_POP,A,2013,3.6,
FIN,FPOP,TOT,PC_POP,A,2014,3.8,
FIN,FPOP,TOT,PC_POP,A,2015,4,
FIN,FPOP,TOT,PC_POP,A,2016,4.2,
FIN,FPOP,TOT,PC_POP,A,2017,4.4,
FIN,FPOP,TOT,PC_POP,A,2018,4.5,
FIN,FPOP,TOT,PC_POP,A,2019,4.7,
DEU,FPOP,TOT,PC_POP,A,2000,8.9,
DEU,FPOP,TOT,PC_POP,A,2001,8.9,
DEU,FPOP,TOT,PC_POP,A,2002,8.9,
DEU,FPOP,TOT,PC_POP,A,2003,8.9,
DEU,FPOP,TOT,PC_POP,A,2004,9,
DEU,FPOP,TOT,PC_POP,A,2005,8.3,
DEU,FPOP,TOT,PC_POP,A,2006,8.3,
DEU,FPOP,TOT,PC_POP,A,2007,8.4,
DEU,FPOP,TOT,PC_POP,A,2008,8.4,
DEU,FPOP,TOT,PC_POP,A,2009,8.4,
DEU,FPOP,TOT,PC_POP,A,2010,8.3,
DEU,FPOP,TOT,PC_POP,A,2011,8.4,
DEU,FPOP,TOT,PC_POP,A,2012,8.6,
DEU,FPOP,TOT,PC_POP,A,2013,9,
DEU,FPOP,TOT,PC_POP,A,2014,9.5,
DEU,FPOP,TOT,PC_POP,A,2015,10.1,
DEU,FPOP,TOT,PC_POP,A,2016,11.1,
DEU,FPOP,TOT,PC_POP,A,2017,12.2,
DEU,FPOP,TOT,PC_POP,A,2018,12.9,
DEU,FPOP,TOT,PC_POP,A,2019,13.1,
HUN,FPOP,TOT,PC_POP,A,2000,1.5,
HUN,FPOP,TOT,PC_POP,A,2001,1.1,
HUN,FPOP,TOT,PC_POP,A,2002,1.1,
HUN,FPOP,TOT,PC_POP,A,2003,1.1,
HUN,FPOP,TOT,PC_POP,A,2004,1.3,
HUN,FPOP,TOT,PC_POP,A,2005,1.4,
HUN,FPOP,TOT,PC_POP,A,2006,1.5,
HUN,FPOP,TOT,PC_POP,A,2007,1.7,
HUN,FPOP,TOT,PC_POP,A,2008,1.7,
HUN,FPOP,TOT,PC_POP,A,2009,1.8,
HUN,FPOP,TOT,PC_POP,A,2010,2,
HUN,FPOP,TOT,PC_POP,A,2011,2.1,
HUN,FPOP,TOT,PC_POP,A,2012,1.4,
HUN,FPOP,TOT,PC_POP,A,2013,1.4,
HUN,FPOP,TOT,PC_POP,A,2014,1.4,
HUN,FPOP,TOT,PC_POP,A,2015,1.5,
HUN,FPOP,TOT,PC_POP,A,2016,1.6,
HUN,FPOP,TOT,PC_POP,A,2017,1.6,
HUN,FPOP,TOT,PC_POP,A,2018,1.7,
HUN,FPOP,TOT,PC_POP,A,2019,1.9,
IRL,FPOP,TOT,PC_POP,A,2000,3.1,
IRL,FPOP,TOT,PC_POP,A,2003,5.6,
IRL,FPOP,TOT,PC_POP,A,2007,9.4,
IRL,FPOP,TOT,PC_POP,A,2008,11.6,
IRL,FPOP,TOT,PC_POP,A,2009,12.6,
IRL,FPOP,TOT,PC_POP,A,2010,12.5,
IRL,FPOP,TOT,PC_POP,A,2011,12.9,
IRL,FPOP,TOT,PC_POP,A,2012,11.5,
IRL,FPOP,TOT,PC_POP,A,2013,11.8,
IRL,FPOP,TOT,PC_POP,A,2014,11.9,
IRL,FPOP,TOT,PC_POP,A,2015,12,
IRL,FPOP,TOT,PC_POP,A,2016,12.9,
IRL,FPOP,TOT,PC_POP,A,2017,11.9,
IRL,FPOP,TOT,PC_POP,A,2018,12.4,
IRL,FPOP,TOT,PC_POP,A,2019,12.8,
ITA,FPOP,TOT,PC_POP,A,2000,2.2,
ITA,FPOP,TOT,PC_POP,A,2001,2.4,
ITA,FPOP,TOT,PC_POP,A,2002,2.5,
ITA,FPOP,TOT,PC_POP,A,2003,2.7,
ITA,FPOP,TOT,PC_POP,A,2004,3.4,
ITA,FPOP,TOT,PC_POP,A,2005,4.1,
ITA,FPOP,TOT,PC_POP,A,2006,4.5,
ITA,FPOP,TOT,PC_POP,A,2007,5,
ITA,FPOP,TOT,PC_POP,A,2008,5.8,
ITA,FPOP,TOT,PC_POP,A,2009,5.7,
ITA,FPOP,TOT,PC_POP,A,2010,6.1,
ITA,FPOP,TOT,PC_POP,A,2011,6.5,
ITA,FPOP,TOT,PC_POP,A,2012,6.8,
ITA,FPOP,TOT,PC_POP,A,2013,7.3,
ITA,FPOP,TOT,PC_POP,A,2014,8.2,
ITA,FPOP,TOT,PC_POP,A,2015,8.4,
ITA,FPOP,TOT,PC_POP,A,2016,8.5,
ITA,FPOP,TOT,PC_POP,A,2017,8.5,
ITA,FPOP,TOT,PC_POP,A,2018,8.7,
ITA,FPOP,TOT,PC_POP,A,2019,8.7,
JPN,FPOP,TOT,PC_POP,A,2000,1.2,
JPN,FPOP,TOT,PC_POP,A,2001,1.3,
JPN,FPOP,TOT,PC_POP,A,2002,1.4,
JPN,FPOP,TOT,PC_POP,A,2003,1.5,
JPN,FPOP,TOT,PC_POP,A,2004,1.5,
JPN,FPOP,TOT,PC_POP,A,2005,1.6,
JPN,FPOP,TOT,PC_POP,A,2006,1.6,
JPN,FPOP,TOT,PC_POP,A,2007,1.6,
JPN,FPOP,TOT,PC_POP,A,2008,1.7,
JPN,FPOP,TOT,PC_POP,A,2009,1.7,
JPN,FPOP,TOT,PC_POP,A,2010,1.7,
JPN,FPOP,TOT,PC_POP,A,2011,1.7,
JPN,FPOP,TOT,PC_POP,A,2012,1.6,
JPN,FPOP,TOT,PC_POP,A,2013,1.6,
JPN,FPOP,TOT,PC_POP,A,2014,1.6,
JPN,FPOP,TOT,PC_POP,A,2015,1.7,
JPN,FPOP,TOT,PC_POP,A,2016,1.7,
JPN,FPOP,TOT,PC_POP,A,2017,1.9,
JPN,FPOP,TOT,PC_POP,A,2018,2,
JPN,FPOP,TOT,PC_POP,A,2019,2.2,
KOR,FPOP,TOT,PC_POP,A,2000,0.4,
KOR,FPOP,TOT,PC_POP,A,2001,0.5,
KOR,FPOP,TOT,PC_POP,A,2002,0.6,
KOR,FPOP,TOT,PC_POP,A,2003,1,
KOR,FPOP,TOT,PC_POP,A,2004,1,
KOR,FPOP,TOT,PC_POP,A,2005,1.1,
KOR,FPOP,TOT,PC_POP,A,2006,1.4,
KOR,FPOP,TOT,PC_POP,A,2007,1.7,
KOR,FPOP,TOT,PC_POP,A,2008,1.8,
KOR,FPOP,TOT,PC_POP,A,2009,1.9,
KOR,FPOP,TOT,PC_POP,A,2010,2,
KOR,FPOP,TOT,PC_POP,A,2011,2,
KOR,FPOP,TOT,PC_POP,A,2012,1.9,
KOR,FPOP,TOT,PC_POP,A,2013,2,
KOR,FPOP,TOT,PC_POP,A,2014,2.2,
KOR,FPOP,TOT,PC_POP,A,2015,2.3,
KOR,FPOP,TOT,PC_POP,A,2016,2.3,
KOR,FPOP,TOT,PC_POP,A,2017,2.3,
KOR,FPOP,TOT,PC_POP,A,2018,2.3,
KOR,FPOP,TOT,PC_POP,A,2019,2.4,
LUX,FPOP,TOT,PC_POP,A,2000,36,
LUX,FPOP,TOT,PC_POP,A,2001,37.3,
LUX,FPOP,TOT,PC_POP,A,2002,37.8,
LUX,FPOP,TOT,PC_POP,A,2003,38.3,
LUX,FPOP,TOT,PC_POP,A,2004,39.3,
LUX,FPOP,TOT,PC_POP,A,2005,40.1,
LUX,FPOP,TOT,PC_POP,A,2006,41.1,
LUX,FPOP,TOT,PC_POP,A,2007,41.8,
LUX,FPOP,TOT,PC_POP,A,2008,42.4,
LUX,FPOP,TOT,PC_POP,A,2009,43.4,
LUX,FPOP,TOT,PC_POP,A,2010,42.6,
LUX,FPOP,TOT,PC_POP,A,2011,42.4,
LUX,FPOP,TOT,PC_POP,A,2012,43.2,
LUX,FPOP,TOT,PC_POP,A,2013,43.8,
LUX,FPOP,TOT,PC_POP,A,2014,44.7,
LUX,FPOP,TOT,PC_POP,A,2015,45.6,
LUX,FPOP,TOT,PC_POP,A,2016,46.8,
LUX,FPOP,TOT,PC_POP,A,2017,48.2,
LUX,FPOP,TOT,PC_POP,A,2018,48.8,
LUX,FPOP,TOT,PC_POP,A,2019,47.3,
NLD,FPOP,TOT,PC_POP,A,2000,4.1,
NLD,FPOP,TOT,PC_POP,A,2001,4.2,
NLD,FPOP,TOT,PC_POP,A,2002,4.3,
NLD,FPOP,TOT,PC_POP,A,2003,4.3,
NLD,FPOP,TOT,PC_POP,A,2004,4.3,
NLD,FPOP,TOT,PC_POP,A,2005,4.3,
NLD,FPOP,TOT,PC_POP,A,2006,4.2,
NLD,FPOP,TOT,PC_POP,A,2007,4.1,
NLD,FPOP,TOT,PC_POP,A,2008,4.2,
NLD,FPOP,TOT,PC_POP,A,2009,4.3,
NLD,FPOP,TOT,PC_POP,A,2010,4.4,
NLD,FPOP,TOT,PC_POP,A,2011,4.6,
NLD,FPOP,TOT,PC_POP,A,2012,4.7,
NLD,FPOP,TOT,PC_POP,A,2013,4.7,
NLD,FPOP,TOT,PC_POP,A,2014,4.8,
NLD,FPOP,TOT,PC_POP,A,2015,5,
NLD,FPOP,TOT,PC_POP,A,2016,5.3,
NLD,FPOP,TOT,PC_POP,A,2017,5.7,
NLD,FPOP,TOT,PC_POP,A,2018,6.1,
NLD,FPOP,TOT,PC_POP,A,2019,6.5,
NOR,FPOP,TOT,PC_POP,A,2000,3.7,
NOR,FPOP,TOT,PC_POP,A,2001,4,
NOR,FPOP,TOT,PC_POP,A,2002,4.1,
NOR,FPOP,TOT,PC_POP,A,2003,4.4,
NOR,FPOP,TOT,PC_POP,A,2004,4.5,
NOR,FPOP,TOT,PC_POP,A,2005,4.6,
NOR,FPOP,TOT,PC_POP,A,2006,4.8,
NOR,FPOP,TOT,PC_POP,A,2007,5.1,
NOR,FPOP,TOT,PC_POP,A,2008,5.6,
NOR,FPOP,TOT,PC_POP,A,2009,6.3,
NOR,FPOP,TOT,PC_POP,A,2010,6.8,
NOR,FPOP,TOT,PC_POP,A,2011,7.5,
NOR,FPOP,TOT,PC_POP,A,2012,8.1,
NOR,FPOP,TOT,PC_POP,A,2013,8.8,
NOR,FPOP,TOT,PC_POP,A,2014,9.4,
NOR,FPOP,TOT,PC_POP,A,2015,9.8,
NOR,FPOP,TOT,PC_POP,A,2016,10.2,
NOR,FPOP,TOT,PC_POP,A,2017,10.5,
NOR,FPOP,TOT,PC_POP,A,2018,10.6,
NOR,FPOP,TOT,PC_POP,A,2019,10.9,
PRT,FPOP,TOT,PC_POP,A,2000,1.9,
PRT,FPOP,TOT,PC_POP,A,2001,2.1,
PRT,FPOP,TOT,PC_POP,A,2002,3.5,
PRT,FPOP,TOT,PC_POP,A,2003,4,
PRT,FPOP,TOT,PC_POP,A,2004,4.2,
PRT,FPOP,TOT,PC_POP,A,2005,4.3,
PRT,FPOP,TOT,PC_POP,A,2006,4,
PRT,FPOP,TOT,PC_POP,A,2007,4.1,
PRT,FPOP,TOT,PC_POP,A,2008,4.2,
PRT,FPOP,TOT,PC_POP,A,2009,4.2,
PRT,FPOP,TOT,PC_POP,A,2010,4.3,
PRT,FPOP,TOT,PC_POP,A,2011,4.2,
PRT,FPOP,TOT,PC_POP,A,2012,4.2,
PRT,FPOP,TOT,PC_POP,A,2013,4,
PRT,FPOP,TOT,PC_POP,A,2014,3.9,
PRT,FPOP,TOT,PC_POP,A,2015,3.8,
